particleID,gravelometer_size,Date1,Date2,DistanceD,intersect,intersect_area,MaxD,MinD,Radius1,Radius2,event,valid_euc,valid_min,valid_max,moved_euc,moved_min,moved_max,counted_moved_euc,counted_moved_min,counted_moved_max
21,64.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
21,64.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
21,64.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
21,64.0,08_24_22,03_24_2023,,,0.0,,,,,M5,False,False,False,False,False,False,False,False,False
21,64.0,03_24_2023,06_17_2023,,,0.0,,,,,M6,False,False,False,False,False,False,False,False,False
21,64.0,06_17_2023,07_31_2023,,,0.0,,,,,M7,False,False,False,False,False,False,False,False,False
21,64.0,07_31_2023,09_20_2023,,,0.0,,,,,M8,False,False,False,False,False,False,False,False,False
22,90.0,03_28_2022,07_06_2022,2.987451876,False,0.0,3.472192115,2.502711637,0.404678523,0.080061716,M1,True,True,True,True,True,True,False,False,False
22,90.0,07_06_2022,08_06_2022,,,0.0,,,0.080061716,,M2,False,False,False,False,False,False,False,False,False
22,90.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
22,90.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
22,90.0,08_24_22,03_24_2023,,,0.0,,,,,M5,False,False,False,False,False,False,False,False,False
22,90.0,03_24_2023,06_17_2023,,,0.0,,,,,M6,False,False,False,False,False,False,False,False,False
22,90.0,06_17_2023,07_31_2023,,,0.0,,,,,M7,False,False,False,False,False,False,False,False,False
22,90.0,07_31_2023,09_20_2023,,,0.0,,,,0.234929715,M8,False,False,False,False,False,False,False,False,False
23,64.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
23,64.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
23,64.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
23,64.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
23,64.0,08_24_22,03_24_2023,,,0.0,,,,,M5,False,False,False,False,False,False,False,False,False
23,64.0,03_24_2023,06_17_2023,,,0.0,,,,0.158385586,M6,False,False,False,False,False,False,False,False,False
23,64.0,06_17_2023,07_31_2023,0.116541563,True,0.062524062,0.486452176,0.0,0.158385586,0.211525027,M7,False,False,True,False,False,True,False,False,False
23,64.0,07_31_2023,09_20_2023,0.010205089,False,0.0,0.3303952,0.0,0.211525027,0.108665084,M8,False,False,True,False,False,False,False,False,False
24,64.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
24,64.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
24,64.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
24,64.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
24,64.0,08_24_22,03_24_2023,,,0.0,,,,0.195301978,M5,False,False,False,False,False,False,False,False,False
24,64.0,03_24_2023,06_17_2023,1.609478562,False,0.0,1.928920675,1.29003645,0.195301978,0.124140134,M6,True,True,True,True,True,True,False,False,False
24,64.0,06_17_2023,07_31_2023,0.10067383,False,0.0,0.568408656,0.0,0.124140134,0.343594692,M7,False,False,True,False,False,True,False,False,True
24,64.0,07_31_2023,09_20_2023,0.071671543,False,0.0,0.534310666,0.0,0.343594692,0.11904443,M8,False,False,True,False,False,True,False,False,True
25,64.0,03_28_2022,07_06_2022,0.239727604,False,0.0,0.7349058,0.0,0.403763831,0.091414365,M1,False,False,True,False,False,True,False,False,False
25,64.0,07_06_2022,08_06_2022,2.239870231,False,0.0,2.367492126,2.112248336,0.091414365,0.03620753,M2,True,True,True,True,True,True,False,False,True
25,64.0,08_06_2022,08_09_2022,0.884107641,False,0.0,1.229561687,0.538653595,0.03620753,0.309246516,M3,True,True,True,True,True,True,True,True,True
25,64.0,08_09_2022,08_24_22,0.388311188,False,0.0,0.744756074,0.031866302,0.309246516,0.04719837,M4,True,False,True,True,False,True,True,False,True
25,64.0,08_24_22,03_24_2023,1.518992509,False,0.0,1.60936206,1.428622959,0.04719837,0.04317118,M5,True,True,True,True,True,True,True,True,True
25,64.0,03_24_2023,06_17_2023,1.739740064,False,0.0,1.837727135,1.641752994,0.04317118,0.05481589,M6,True,True,True,True,True,True,True,True,True
25,64.0,06_17_2023,07_31_2023,0.046643198,True,0.003140404,0.145016128,0.0,0.05481589,0.04355704,M7,False,False,True,False,False,False,False,False,False
25,64.0,07_31_2023,09_20_2023,,,0.0,,,0.04355704,,M8,False,False,False,False,False,False,False,False,False
26,45.0,03_28_2022,07_06_2022,0.273941744,True,0.164587678,0.955131454,0.0,0.252878124,0.428311587,M1,False,False,True,False,False,True,False,False,False
26,45.0,07_06_2022,08_06_2022,0.201882313,False,0.0,0.640300815,0.0,0.428311587,0.010106916,M2,False,False,True,False,False,True,False,False,True
26,45.0,08_06_2022,08_09_2022,0.060963073,False,0.0,0.181263563,0.0,0.010106916,0.110193574,M3,False,False,True,False,False,True,False,False,True
